member,item
1595,"liver loaf,finished products,pip fruit,hamburger meat,sausage,whole milk,bottled beer,beef,other vegetables,bottled beer,whipped/sour cream,whole milk,soda,other vegetables,white bread,whole milk,rolls/buns,newspapers,yogurt,nut snack,rolls/buns,whole milk"
1596,"bottled water,dessert,whole milk,pot plants,beverages,UHT-milk,other vegetables,other vegetables,margarine,pot plants"
1597,"UHT-milk,UHT-milk,other vegetables,frozen meals,whole milk,whole milk,oil,cake bar"
1598,"root vegetables,ice cream,white bread,soda,cream cheese ,sliced cheese,rolls/buns"
1599,"sausage,tropical fruit,semi-finished bread,tropical fruit,sausage,soda,pot plants,whole milk,berries,rolls/buns,cream cheese ,other vegetables,shopping bags,candy"
1601,"whole milk,beef,butter,root vegetables,soda,frozen vegetables"
1602,"citrus fruit,sausage,pip fruit,yogurt,ice cream,root vegetables,other vegetables,beef,whole milk,fruit/vegetable juice,pip fruit,beef,butter,whipped/sour cream"
1603,"frozen meals,canned beer,canned beer,whole milk,chicken,frankfurter,whipped/sour cream,white bread,whole milk,domestic eggs,whole milk,flour,flour,bottled beer,sugar"
1604,"sausage,pip fruit,tropical fruit,rolls/buns,margarine,rum,fruit/vegetable juice,specialty bar"
1605,"yogurt,sausage,other vegetables,white wine,citrus fruit,seasonal products,canned beer,rolls/buns,whole milk,soda,fruit/vegetable juice"
1606,"frankfurter,ham,dog food,other vegetables,bottled beer,canned beer,butter,red/blush wine"
1607,"other vegetables,margarine,onions,shopping bags,pickled vegetables,rolls/buns"
1608,"root vegetables,frankfurter,tropical fruit,whole milk,red/blush wine,frozen vegetables,napkins,fruit/vegetable juice,citrus fruit,hamburger meat,whole milk,shopping bags,cream cheese ,snack products,pastry,ice cream,whole milk,canned beer"
1609,"other vegetables,rolls/buns,soda,other vegetables,pickled vegetables,whole milk,napkins,chocolate,soda,sugar,butter,fruit/vegetable juice,soft cheese,white wine,napkins"
1610,"yogurt,bottled beer,root vegetables,pastry,cream cheese ,oil"
1611,"bottled beer,liver loaf,frozen meals,sausage,other vegetables,yogurt,domestic eggs,yogurt,flower (seeds),coffee"
1612,"canned beer,bottled water,butter,sausage,yogurt,citrus fruit,rolls/buns,frozen vegetables,soda,whole milk,ice cream,soups,frozen meals,softener,oil,canned vegetables"
1613,"yogurt,white wine,soda,turkey,tropical fruit,other vegetables,cookware,canned vegetables,cream cheese ,whipped/sour cream,pastry,salt,whole milk,flour,butter"
1614,"bottled beer,specialty cheese,whole milk,napkins"
1615,"sausage,yogurt,herbs,herbs,beverages,pastry,whipped/sour cream,white bread,white bread,canned fish,bottled water,curd cheese"
1616,"ham,whole milk,frankfurter,whole milk,margarine,coffee,pip fruit,prosecco,pastry,whole milk,whole milk,frozen meals,berries"
1617,"rolls/buns,oil,dessert,soda,sauces,sugar,waffles,frozen meals,dish cleaner"
1618,"chicken,hamburger meat,bottled beer,canned fruit,root vegetables,whole milk,whole milk,candy,sugar,whole milk,whipped/sour cream,napkins,cream cheese ,napkins,mustard,popcorn"
1619,"beef,whole milk,root vegetables,dessert,jam,root vegetables,waffles,napkins,flower (seeds),long life bakery product,whipped/sour cream"
1620,"tropical fruit,chicken,frozen meals,whole milk,bottled water,frozen dessert,yogurt,cream cheese ,yogurt,sparkling wine,napkins"
1621,"ham,other vegetables,beef,bottled beer,sugar,canned fruit,soda,waffles,yogurt,butter milk,detergent,shopping bags,butter milk,photo/film"
1622,"meat,canned beer,whole milk,rolls/buns,tropical fruit,salty snack,misc. beverages,margarine,soda,shopping bags"
1623,"frankfurter,frozen meals,citrus fruit,canned fish,soda,ham,chocolate,specialty chocolate,pastry,rolls/buns,soda,roll products "
1624,"red/blush wine,rolls/buns,whole milk,other vegetables,berries,napkins,fruit/vegetable juice,beverages,mustard"
1625,"other vegetables,packaged fruit/vegetables,meat,zwieback,sausage,pot plants,rolls/buns,packaged fruit/vegetables,root vegetables,butter milk,rice,butter,bottled water,napkins,frozen meals,soft cheese,jam,yogurt"
1626,"pastry,chewing gum"
1627,"rolls/buns,root vegetables,pip fruit,rolls/buns,pastry,other vegetables,canned beer,hygiene articles,fruit/vegetable juice"
1628,"chicken,soda,hamburger meat,pastry,fruit/vegetable juice,whole milk,yogurt,pastry,white bread,whole milk,cream cheese ,margarine,bottled water,soda,softener"
1629,"citrus fruit,frozen dessert,yogurt,ham,tropical fruit,whole milk"
1630,"semi-finished bread,whole milk,tropical fruit,rolls/buns"
1631,"domestic eggs,tropical fruit,mayonnaise,herbs,coffee"
1632,"house keeping products,onions,chicken,brown bread,misc. beverages,root vegetables,whole milk,rolls/buns,napkins,shopping bags,white bread,newspapers,soda,soda"
1633,"condensed milk,pork,whole milk,pastry,ready soups,shopping bags"
1634,"brown bread,bottled water,rolls/buns,whole milk,other vegetables,frankfurter,chicken,yogurt,curd,bottled water,yogurt,newspapers,butter milk,soda,fruit/vegetable juice,bottled water,whole milk,pet care,herbs"
1635,"butter,chocolate,whole milk,citrus fruit,white bread,shopping bags"
1636,"rolls/buns,other vegetables,berries,root vegetables,white bread,other vegetables,bottled beer,whole milk,other vegetables,napkins,hygiene articles,liquor (appetizer)"
1638,"whole milk,prosecco,hard cheese,candles,chewing gum,bottled beer,shopping bags,jam"
1639,"frankfurter,ham,long life bakery product,tropical fruit,female sanitary products,chocolate,mustard"
1640,"root vegetables,butter milk,newspapers,oil"
1641,"pip fruit,UHT-milk,canned beer,other vegetables,pork,whipped/sour cream,white bread,candy,cream cheese ,bottled beer,pastry,hygiene articles"
1642,"bottled water,yogurt"
1643,"yogurt,whole milk,rolls/buns,soda"
1644,"citrus fruit,salty snack,specialty cheese,brown bread,napkins"
1645,"whole milk,hygiene articles,waffles,pastry,waffles"
1646,"chewing gum,butter milk,soda,frankfurter,butter,beverages,ham,sliced cheese,butter,whole milk,newspapers,sparkling wine,white bread,shopping bags,rolls/buns,frozen vegetables,hygiene articles"
1647,"yogurt,other vegetables,specialty cheese,whipped/sour cream,specialty chocolate,salty snack,flour"
1648,"sausage,pork,newspapers,grapes,rolls/buns,rolls/buns,pastry,red/blush wine,whole milk,rolls/buns"
1649,"bottled water,tropical fruit,curd,pork,pip fruit,pork,rolls/buns,berries,white wine,frozen meals,rolls/buns,salty snack,condensed milk,yogurt,yogurt,bottled beer,other vegetables,newspapers"
1650,"coffee,cream cheese ,detergent,misc. beverages,rolls/buns,pasta"
1651,"beef,tropical fruit,tropical fruit,hamburger meat,cat food,frozen vegetables,chicken,other vegetables,whole milk,bottled water,canned vegetables,dishes,soda,hygiene articles,domestic eggs,tea"
1652,"other vegetables,root vegetables,bottled beer,newspapers,beef,citrus fruit,pastry,canned beer,yogurt,curd,semi-finished bread,fruit/vegetable juice"
1653,"pip fruit,chicken,newspapers,citrus fruit,whole milk,hamburger meat,frozen vegetables,herbs,cream cheese ,rolls/buns,long life bakery product,pastry,butter milk,margarine,long life bakery product,frozen meals,flour,canned fish"
1654,"cream cheese ,whisky,frozen dessert,dish cleaner,rolls/buns,beef,whole milk,pip fruit,whole milk,whole milk,rolls/buns,shopping bags,citrus fruit,frozen potato products,frozen vegetables,root vegetables,other vegetables,other vegetables,butter,frozen dessert,cream cheese ,rum,female sanitary products"
1655,"sausage,pip fruit,brown bread,bottled water,whole milk,white wine,frozen fish,rolls/buns,chocolate"
1656,"specialty cheese,ham,hard cheese,tropical fruit,bottled beer,dessert,sliced cheese,rolls/buns,whole milk,white bread,liquor (appetizer),bottled water"
1657,"other vegetables,frozen potato products,frozen meals,whole milk,rolls/buns,frozen meals"
1658,"sausage,beef,newspapers,pork,citrus fruit,dish cleaner,butter,soda,coffee,flour,margarine,female sanitary products"
1659,"coffee,frankfurter,yogurt,chewing gum,brown bread,dishes,specialty chocolate,whole milk,bottled water,tropical fruit,other vegetables,frozen dessert,yogurt,frozen vegetables,specialty bar"
1660,"beef,packaged fruit/vegetables,misc. beverages,specialty chocolate,other vegetables,sliced cheese,domestic eggs"
1661,"packaged fruit/vegetables,pip fruit,root vegetables,dessert,pip fruit,root vegetables,tropical fruit,sliced cheese,white wine,pip fruit,mustard,tidbits,salty snack,frozen fruits,whipped/sour cream,shopping bags,white bread"
1662,"beef,rolls/buns,bottled water,sugar,fruit/vegetable juice"
1663,"rolls/buns,pork,tropical fruit,onions,yogurt,butter,yogurt,tropical fruit,whole milk,soft cheese,herbs,rolls/buns,rolls/buns"
1664,"whole milk,frankfurter,rolls/buns,pork,whole milk,curd,misc. beverages,sugar,canned vegetables,soda"
1665,"whole milk,other vegetables,curd cheese,UHT-milk,soda,canned beer"
1666,"sausage,pip fruit,long life bakery product,flower (seeds)"
1667,"beef,onions"
1668,"citrus fruit,herbs,chicken,rolls/buns,turkey,female sanitary products,curd,pip fruit,pastry,bottled water,frozen meals"
1669,"soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags"
1670,"ice cream,fish,chicken,citrus fruit,pickled vegetables,pork,soda,hard cheese,newspapers"
1672,"whole milk,pip fruit,sausage,yogurt,brandy,white bread"
1673,"citrus fruit,grapes"
1674,"sausage,zwieback,detergent,chicken,beverages,shopping bags,tropical fruit,ice cream,kitchen towels,bottled water,soda,margarine"
1676,"citrus fruit,other vegetables,root vegetables,other vegetables,whole milk,fruit/vegetable juice,misc. beverages,soda,tropical fruit,dishes"
1677,"tropical fruit,liver loaf,hamburger meat,citrus fruit,yogurt,pip fruit,specialty chocolate,rolls/buns,onions,seasonal products,prosecco"
1678,"citrus fruit,pork,bottled water,ham,canned beer,frozen dessert,whole milk,onions"
1679,"other vegetables,whole milk,rolls/buns,frozen vegetables,rolls/buns,brown bread,rolls/buns,rolls/buns,salty snack,whipped/sour cream,cake bar"
1680,"fruit/vegetable juice,beverages,pet care,specialty bar,dog food,soda"
1681,"pip fruit,popcorn,butter,rolls/buns,bottled water,soda"
1682,"canned beer,pip fruit,pip fruit,citrus fruit,yogurt,liquor,other vegetables,other vegetables,whipped/sour cream,seasonal products,shopping bags,domestic eggs,dessert,berries,fruit/vegetable juice,newspapers,newspapers,soda,cake bar,frozen meals"
1683,"root vegetables,whole milk,turkey,pip fruit,bottled water"
1684,"whole milk,canned beer,white wine,whole milk,coffee,white bread,curd,oil"
1685,"beverages,other vegetables,soda,pickled vegetables,whole milk,bottled water,whole milk,waffles"
1686,"whole milk,pork,brown bread,whole milk,root vegetables,canned beer,candles"
1687,"sausage,coffee,specialty bar,chicken,domestic eggs,curd,pastry,other vegetables,house keeping products,UHT-milk,misc. beverages"
1688,"finished products,root vegetables"
1689,"beef,rolls/buns,pastry,cake bar,whole milk"
1690,"sausage,sugar,sausage,frankfurter,citrus fruit,newspapers,frozen vegetables,curd,pastry,soda,yogurt,whipped/sour cream,brown bread,bottled water,curd cheese,rolls/buns"
1692,"whole milk,citrus fruit,chewing gum,dessert,other vegetables,canned beer,soda,chicken,cake bar,fruit/vegetable juice,sugar,ready soups,other vegetables,napkins,oil"
1693,"spread cheese,onions,UHT-milk,cream cheese ,specialty chocolate,pastry,other vegetables,canned beer,cream cheese ,rolls/buns,waffles,sugar"
1694,"tropical fruit,rolls/buns,dessert,butter,rolls/buns,long life bakery product"
1695,"meat,rolls/buns"
1696,"root vegetables,tropical fruit,newspapers,domestic eggs,whole milk,rolls/buns,mustard,whole milk,root vegetables,coffee,cream cheese ,chewing gum,yogurt"
1697,"misc. beverages,tropical fruit,root vegetables,dish cleaner,rolls/buns,sausage,pip fruit,frozen vegetables,other vegetables,kitchen towels,soda,beverages,butter,other vegetables,condensed milk"
1698,"other vegetables,other vegetables,yogurt,citrus fruit,pork,yogurt,yogurt,shopping bags,brown bread"
1699,"citrus fruit,canned vegetables,onions,liquor (appetizer),pip fruit,chicken,margarine,hygiene articles,rolls/buns,sweet spreads"
1700,"other vegetables,pip fruit,other vegetables,shopping bags"
1701,"canned beer,photo/film"
1702,"whole milk,yogurt,pastry,pork,other vegetables,bottled beer,pip fruit,whipped/sour cream,yogurt,waffles,yogurt,decalcifier,margarine"
1703,"pork,waffles,misc. beverages,whole milk,tropical fruit,pork,canned beer,bottled water,newspapers,whipped/sour cream,frozen vegetables,newspapers,cream cheese ,mustard"
1705,"baking powder,frozen fish,white bread,rolls/buns,soda,whole milk,cream cheese ,sauces"
1706,"coffee,canned beer,brandy,root vegetables,bottled water,waffles,cat food,grapes,yogurt,soda,dishes,chocolate,light bulbs,soda"
1707,"sausage,bottled beer,whipped/sour cream,brown bread"
1708,"oil,cat food,meat,citrus fruit,whole milk,turkey,other vegetables,onions,spread cheese,chocolate,pastry,canned beer,berries,whole milk,rolls/buns,long life bakery product"
1709,"sausage,white bread,root vegetables,coffee"
1710,"chicken,chicken,brown bread,rolls/buns,specialty chocolate,rolls/buns"
1711,"frankfurter,soda,frankfurter,bottled beer,chicken,whole milk,oil,yogurt,hamburger meat,soda,yogurt,citrus fruit,whole milk,white bread,herbs,yogurt,newspapers,shopping bags,specialty chocolate"
1712,"spread cheese,cream cheese ,butter,rice,hygiene articles"
1714,"whipped/sour cream,mustard,rolls/buns,zwieback,soda"
1715,"chicken,butter,ham,whole milk,newspapers,spread cheese,curd,specialty chocolate,white wine,frozen meals,domestic eggs,specialty chocolate,margarine,frozen meals,beverages,shopping bags,bottled water"
1716,"brown bread,whole milk,meat,pip fruit,chocolate,fruit/vegetable juice,long life bakery product,bottled water"
1717,"chicken,pip fruit,rolls/buns,rolls/buns,other vegetables,bottled water,pip fruit,margarine"
1718,"hamburger meat,frankfurter,domestic eggs,red/blush wine,frozen vegetables,rolls/buns,salty snack"
1719,"coffee,nuts/prunes,canned beer,whole milk,soda,whole milk,other vegetables,shopping bags,bottled water,curd,brown bread,pet care,sliced cheese"
1720,"root vegetables,onions,herbs,whole milk,butter,vinegar,shopping bags"
1721,"other vegetables,bottled water,rolls/buns,whole milk,soda,margarine"
1722,"tropical fruit,chewing gum,whole milk,tropical fruit,canned beer,whole milk,pastry,soda,whole milk,newspapers,butter,soda,pastry,dessert"
1723,"yogurt,tropical fruit,citrus fruit,citrus fruit,sliced cheese,margarine,newspapers,sweet spreads,whipped/sour cream,shopping bags"
1724,"hamburger meat,whole milk,rolls/buns,fruit/vegetable juice,chicken,pip fruit,canned beer,berries,other vegetables,salty snack,coffee"
1725,"curd,tropical fruit,dessert,chicken,yogurt,newspapers"
1726,"other vegetables,other vegetables,pip fruit,root vegetables,bottled beer,pip fruit,dessert,red/blush wine,whole milk,other vegetables,pastry,napkins,detergent"
1727,"citrus fruit,brown bread,beef,whole milk,canned fish,brown bread"
1728,"soda,rolls/buns,root vegetables,bottled water,rum,processed cheese,ice cream"
1729,"frankfurter,meat,frankfurter,beef,other vegetables,rolls/buns,whole milk,whole milk,newspapers,pet care,whipped/sour cream,waffles,newspapers,ready soups,pastry"
1730,"sausage,other vegetables,sausage,sugar,whole milk,rolls/buns,semi-finished bread,napkins"
1731,"bottled beer,chicken,whole milk,sausage,other vegetables,tropical fruit,waffles,whole milk,salt,long life bakery product,other vegetables,processed cheese"
1732,"citrus fruit,pork,citrus fruit,yogurt,long life bakery product,canned beer,flour"
1733,"whole milk,pip fruit,coffee,canned fish,mustard,zwieback,salty snack,root vegetables,organic sausage,yogurt,pastry,rolls/buns,butter,oil,white bread,soft cheese,newspapers"
1734,"rolls/buns,beef,sausage,chocolate,tropical fruit,napkins,other vegetables,whipped/sour cream,bottled water,rum,pork,baking powder,rolls/buns,yogurt,beverages,frozen vegetables,brown bread"
1735,"soda,curd,napkins,rolls/buns,candy"
1736,"rolls/buns,butter,whole milk,tropical fruit,pickled vegetables,chocolate,soda,root vegetables,long life bakery product,whole milk,butter,soda"
1737,"tropical fruit,citrus fruit,pastry,whole milk,hamburger meat,hamburger meat,newspapers,other vegetables,sausage,yogurt,citrus fruit,rolls/buns,root vegetables,liquor,condensed milk,instant coffee,yogurt,domestic eggs,detergent,flour,tropical fruit"
1738,"dessert,brown bread,whole milk,yogurt,pastry,soda,liquor (appetizer),rolls/buns"
1739,"sausage,soda,pastry,photo/film"
1740,"ham,specialty bar,domestic eggs,root vegetables,tropical fruit,whipped/sour cream,curd cheese,soda,whole milk,soda,white bread,rolls/buns,canned beer,dessert,napkins,yogurt"
1741,"sausage,liver loaf,rolls/buns,fruit/vegetable juice,napkins,other vegetables,packaged fruit/vegetables,packaged fruit/vegetables,margarine,specialty chocolate,curd,bottled beer,candles"
1742,"napkins,sausage,other vegetables,frankfurter,photo/film,detergent,root vegetables,mustard,salty snack"
1743,"sliced cheese,pip fruit,frozen meals,frankfurter,root vegetables,dessert,white bread,brown bread,whipped/sour cream,whipped/sour cream,cream cheese ,specialty bar,fruit/vegetable juice,pastry"
1744,"canned beer,domestic eggs,soda,bottled beer"
1745,"tropical fruit,yogurt"
1746,"Instant food products,pip fruit,whole milk,root vegetables,tropical fruit,pip fruit,bottled water,UHT-milk,margarine,cream cheese "
1747,"frankfurter,canned beer,curd,root vegetables,margarine,red/blush wine,whipped/sour cream,other vegetables,roll products ,frozen vegetables,rolls/buns"
1748,"pip fruit,kitchen utensil,bottled beer,whipped/sour cream,soda,roll products ,beverages,bottled water,butter,yogurt,root vegetables,whole milk,rolls/buns,processed cheese,rolls/buns,canned fish,sugar,pasta,bottled water"
1749,"frankfurter,berries,ham,specialty cheese,root vegetables,onions,soft cheese,baking powder"
1750,"onions,beef,whole milk,root vegetables,pastry,shopping bags,baking powder,dog food,soda,shopping bags,newspapers,rolls/buns"
1751,"sausage,yogurt,whipped/sour cream,whole milk,pip fruit,newspapers,herbs,candy,flour,oil"
1752,"other vegetables,pip fruit,canned beer,newspapers,pip fruit,cream cheese ,butter milk,other vegetables,cake bar,butter"
1753,"root vegetables,sausage,whole milk,hygiene articles,berries,other vegetables,other vegetables,pickled vegetables,other vegetables,rolls/buns,pastry,canned fish,whole milk,butter milk,cream cheese ,sliced cheese,fruit/vegetable juice"
1754,"canned beer,citrus fruit,beverages,curd,whipped/sour cream,root vegetables,pastry,coffee,pip fruit,other vegetables,flour,cream cheese ,pickled vegetables,bottled water"
1755,"waffles,whole milk,spread cheese,soda"
1756,"pork,ice cream,whole milk,UHT-milk,other vegetables,onions,soda,skin care,soda"
1757,"root vegetables,pork,frankfurter,finished products,canned beer,hamburger meat,yogurt,other vegetables,salty snack,packaged fruit/vegetables,whipped/sour cream,curd,sweet spreads,whole milk,white bread"
1758,"chocolate,other vegetables,chocolate,pip fruit,rolls/buns,salt,bottled water,yogurt,pasta,shopping bags,margarine,whole milk,pickled vegetables,whipped/sour cream"
1759,"bottled beer,ham,pet care,bottled water,other vegetables,pork,whole milk,newspapers,flour,oil,dog food,brown bread"
1760,"newspapers,soda,cream cheese ,sausage,fruit/vegetable juice,margarine,sugar,dish cleaner"
1761,"bottled beer,rolls/buns,napkins,tropical fruit,whole milk,whole milk,seasonal products,cream cheese ,shopping bags,UHT-milk,dish cleaner,hygiene articles,shopping bags,pudding powder,frozen fish,newspapers,shopping bags,mustard"
1762,"dessert,citrus fruit,bottled beer,other vegetables"
1763,"coffee,frankfurter,pork,hard cheese,frozen vegetables,semi-finished bread,domestic eggs"
1764,"whole milk,canned beer,yogurt,honey,UHT-milk,other vegetables,soda,ketchup,salty snack,coffee,butter"
1765,"margarine,fruit/vegetable juice,meat,beef,rolls/buns,pasta,whipped/sour cream,baking powder"
1766,"pork,dessert,canned beer,canned beer,specialty chocolate"
1767,"meat,pastry,frankfurter,sparkling wine,bottled water,whole milk,rolls/buns,other vegetables,UHT-milk,soda,shopping bags,root vegetables"
1768,"beverages,sausage,chicken,butter milk,dessert,finished products,rolls/buns,margarine,flower soil/fertilizer,pickled vegetables,root vegetables,butter,long life bakery product,other vegetables,rolls/buns,herbs,fruit/vegetable juice,butter milk,long life bakery product,white bread"
1769,"rolls/buns,bottled beer,whole milk,canned vegetables,onions"
1770,"semi-finished bread,butter,specialty bar,other vegetables,rolls/buns,shopping bags,mayonnaise,pickled vegetables,whole milk,waffles"
1771,"frankfurter,other vegetables,soda,sausage,specialty bar,cream cheese "
1772,"misc. beverages,sugar,yogurt,rolls/buns,brown bread,red/blush wine,canned beer,make up remover"
1773,"frankfurter,whole milk,sausage,pip fruit,pip fruit,whipped/sour cream,bottled water,detergent,canned vegetables"
1774,"domestic eggs,butter,yogurt,other vegetables,newspapers,other vegetables,newspapers,white bread,cereals,syrup,salty snack,cleaner"
1775,"tropical fruit,cat food"
1776,"ice cream,canned beer,whole milk,bottled water,fish,margarine,grapes,UHT-milk,margarine,pastry,canned beer,yogurt,butter,yogurt"
1777,"sausage,beef,whole milk,tropical fruit,finished products,yogurt,margarine,butter milk,curd,tropical fruit,pastry,whole milk,fruit/vegetable juice,pip fruit,sugar,brown bread,fruit/vegetable juice,brown bread,pot plants,misc. beverages"
1778,"beef,bottled water,tropical fruit,whole milk,bottled water,photo/film"
1779,"whole milk,beef,citrus fruit,long life bakery product,rolls/buns,curd,newspapers,rolls/buns,white bread"
1780,"canned fish,pip fruit,sausage,dessert,curd,specialty bar,beverages,sausage,sausage,sugar,canned fish,soft cheese,yogurt,whole milk,rolls/buns,yogurt,other vegetables,oil,curd,whole milk,newspapers"
1781,"specialty chocolate,specialty bar,tropical fruit,butter milk,yogurt,shopping bags"
1782,"pork,soda,coffee,tropical fruit,frozen vegetables,rolls/buns,rolls/buns,yogurt,napkins,yogurt,onions,other vegetables,newspapers"
1783,"other vegetables,sausage,tropical fruit,butter,rolls/buns,bottled water,misc. beverages,pip fruit,UHT-milk,hamburger meat,rolls/buns,candy,specialty chocolate,yogurt,soda,shopping bags,white bread,misc. beverages"
1784,"bottled water,pip fruit,ham,curd,other vegetables,rolls/buns,semi-finished bread"
1785,"sausage,ham,butter,sausage,turkey,canned beer,fruit/vegetable juice,other vegetables,curd,bottled water,berries,brown bread,whole milk,grapes,canned beer,curd,organic sausage,other vegetables,soda,cling film/bags"
1786,"canned beer,yogurt,citrus fruit,frozen vegetables,specialty bar,misc. beverages"
1787,"whipped/sour cream,frozen meals,finished products,pork,chocolate,frozen meals,other vegetables,whole milk,liquor,packaged fruit/vegetables,long life bakery product,napkins,salty snack"
1788,"sausage,dessert,sausage,UHT-milk,canned beer,brown bread,pork,berries,canned beer,citrus fruit,other vegetables,brown bread,long life bakery product,mayonnaise,frozen vegetables,yogurt"
1789,"beef,pip fruit,citrus fruit,hamburger meat,whole milk,frozen dessert,male cosmetics,yogurt,candles,newspapers"
1790,"sausage,pork,misc. beverages,other vegetables"
1791,"tropical fruit,pork,pastry,bottled beer,cream cheese ,bottled water,cake bar,yogurt"
1792,"tropical fruit,newspapers,beef,tropical fruit,pork,domestic eggs,detergent,frozen vegetables,grapes,bottled water,frozen vegetables,processed cheese,chocolate marshmallow"
1793,"ice cream,long life bakery product,canned beer,misc. beverages,beef,other vegetables,chicken,male cosmetics,beef,brown bread,frozen vegetables,pip fruit,rolls/buns,rolls/buns,white wine,berries,newspapers,frozen meals,organic products,ice cream,hard cheese,other vegetables,frozen vegetables,chocolate,chocolate"
1794,"sweet spreads,citrus fruit,bottled beer,yogurt,soda"
1795,"beef,domestic eggs,whole milk,dessert"
1796,"sausage,butter,cream cheese ,sausage,whole milk,other vegetables,yogurt,bottled water,pip fruit,rolls/buns,chocolate,rolls/buns,spices,coffee"
1797,"sausage,hard cheese,white wine,root vegetables,other vegetables,detergent,processed cheese,sugar,sliced cheese,chocolate marshmallow,bottled beer"
1798,"beef,pip fruit,yogurt,beverages,bottled beer,pastry,pastry,other vegetables,bottled water,hamburger meat,curd,pastry,instant coffee,whole milk,frozen fish,domestic eggs,male cosmetics"
1799,"shopping bags,canned beer,canned beer,tropical fruit,whole milk,other vegetables,canned fish,condensed milk,pastry"
1800,"vinegar,whole milk,chicken,root vegetables,whole milk,bottled water,rolls/buns,rolls/buns,brown bread,whipped/sour cream,white wine,hygiene articles"
1801,"ham,other vegetables,pastry,canned beer,white bread,newspapers,soda,rolls/buns,sugar,brown bread,waffles"
1803,"rolls/buns,citrus fruit,onions,soft cheese,yogurt,chocolate,instant coffee,soda,Instant food products"
1804,"beef,sausage,whole milk,white bread,berries,whole milk,cream cheese ,butter,root vegetables"
1805,"canned beer,tropical fruit,pork,citrus fruit,soda,newspapers,mustard"
1806,"beverages,beverages,hamburger meat,frankfurter,soda,root vegetables,butter,cream cheese ,whipped/sour cream,butter,shopping bags"
1807,"hamburger meat,frankfurter,finished products,margarine,other vegetables,popcorn"
1808,"tropical fruit,long life bakery product,meat,sugar,rolls/buns,semi-finished bread,whole milk,citrus fruit,candy,napkins"
1809,"whole milk,root vegetables,cream cheese ,hard cheese,waffles,soda"
1810,"rolls/buns,pork,butter,pork,cat food,bottled water,domestic eggs,other vegetables,baking powder,bottled water,newspapers,curd"
1811,"beverages,yogurt,citrus fruit,tropical fruit,canned beer,other vegetables,bottled water,white wine,white wine,ice cream,other vegetables,hygiene articles,long life bakery product,dessert,butter milk,domestic eggs,pastry,bottled beer"
1812,"hamburger meat,soft cheese,yogurt,margarine"
1813,"meat,chocolate,brown bread"
1814,"beef,root vegetables,other vegetables,frankfurter,fruit/vegetable juice,hamburger meat,waffles,pip fruit,bottled water,sparkling wine,whole milk,other vegetables"
1815,"beef,sausage,semi-finished bread,yogurt,onions,sausage,bottled water,liquor,other vegetables,butter,pastry"
1816,"soda,red/blush wine,pickled vegetables,jam,whole milk,liquor (appetizer),canned beer,cake bar,sauces,coffee"
1817,"canned beer,beef,whole milk,pastry,margarine,hamburger meat,whole milk,bottled beer,detergent,whipped/sour cream,dishes,canned vegetables"
1818,"sausage,red/blush wine,other vegetables,butter milk,butter,specialty bar,bottled water,frozen vegetables,rolls/buns,beverages"
1819,"root vegetables,root vegetables,pastry,pip fruit,chicken,packaged fruit/vegetables,tropical fruit,tropical fruit,berries,packaged fruit/vegetables,soda,pasta,photo/film,sugar,coffee,grapes,fruit/vegetable juice"
1820,"pastry,pork,meat,root vegetables,citrus fruit,brown bread,ham,salt,butter milk,butter milk"
1821,"root vegetables,tropical fruit,coffee,frozen vegetables,napkins,butter milk,long life bakery product,misc. beverages"
1822,"pip fruit,tropical fruit,candy,dessert,onions,rolls/buns,pip fruit,citrus fruit,semi-finished bread,bottled beer,pasta,rolls/buns,soda"
1823,"whole milk,frankfurter,berries,whole milk,bottled water,pastry,curd,rolls/buns,cling film/bags,napkins,hygiene articles"
1824,"yogurt,sausage,bottled beer,canned beer,newspapers,chocolate,sugar,soda,butter"
1825,"chicken,fruit/vegetable juice,bottled beer,zwieback,long life bakery product,soda,baking powder,domestic eggs,salty snack,UHT-milk,other vegetables,whole milk,oil"
1826,"sausage,soda"
1827,"meat,frankfurter,sausage,whole milk,spread cheese,onions,soda,whole milk,condensed milk,other vegetables,whole milk,whipped/sour cream,specialty bar,soda,soda,root vegetables,pastry,coffee,curd,pip fruit,bottled water,yogurt,cat food"
1828,"brown bread,grapes,canned beer,herbs,bottled water,soda,dessert,spread cheese,rolls/buns"
1829,"pork,brown bread,beverages,pip fruit,pork,rolls/buns,mustard,yogurt,male cosmetics"
1830,"ham,citrus fruit,other vegetables,bottled water"
1831,"pork,whole milk,other vegetables,whole milk,sauces,chocolate,hard cheese"
1832,"pork,sausage,whipped/sour cream,berries,whole milk,tropical fruit,candles,pastry,specialty chocolate,sauces,coffee,flour,spread cheese,mayonnaise,specialty chocolate,bottled beer"
1833,"whipped/sour cream,frozen chicken,soda,yogurt,other vegetables,tropical fruit,dessert,whole milk,coffee,margarine"
1834,"frankfurter,meat,berries,shopping bags,canned fish,baking powder,frozen vegetables"
1835,"rolls/buns,root vegetables,tropical fruit,pastry,jam,pip fruit,chocolate,detergent,cake bar,rice"
1836,"oil,whole milk,specialty chocolate,herbs,sugar,margarine"
